image_number,soho_x,soho_y,soho_z,soho_qw,soho_qx,soho_qy,soho_qz,cam_x,cam_y,cam_z,cam_qw,cam_qx,cam_qy,cam_qz
18,-374.6829670961189,786.36661306744,628.5612834588409,0.6190785148064684,-0.7525858136503669,-0.08403814091366238,0.20807204634214554,-85.42636027934027,-545.0325856418427,324.6027671536068,0.7864618270973985,-0.5810798156731202,-0.15333260453951922,0.14252422503224393
19,-374.6749412078094,786.3739535633339,628.5407792755634,0.6191285487217575,-0.7524700069999491,-0.08406172690088007,0.2083323181689025,-90.20470052249233,-537.4681098955106,325.3736573521721,0.7498741141971736,-0.6470740636702615,-0.1109168496590323,0.0817399623438507
20,-374.67607924641356,786.4116210916072,628.5213308549578,0.6193754366577263,-0.7523747721874272,-0.08413473914697982,0.20791252081016573,-85.31928354124562,-552.1013427034784,323.0287403144873,0.8210809874278543,-0.5565508575677272,-0.09705331251902168,0.08159540155065458
21,-374.6882356407366,786.3904866714513,628.5052863781477,0.6193243040669884,-0.7523622420393997,-0.08405339182143692,0.20814295680781586,-83.38522600394077,-551.4923986345373,323.0260367881943,0.8149970390000694,-0.549748156499592,-0.13056792641998477,0.1284866041142227
22,-374.6790895753576,786.3957031001286,628.5419731375753,0.6192159710535106,-0.7524626072464632,-0.08404129383889618,0.20810734445952966,-88.46027860345473,-552.2202464818664,323.13238042547823,0.8147028285243115,-0.5787961068469945,-0.03492732877131277,-0.005869378003623668
23,82.29211823813279,1048.5158674497222,108.77306683943385,-0.2963411549053304,-0.1671758857450767,-0.04131150363213514,0.9394293495534277,-89.6036852716714,-516.2351961753451,323.3828219187242,0.650207806229011,-0.7583060189879594,0.01688101662318242,-0.043781520796535356
24,43.506264513616124,1312.2580400693819,106.64403043797542,0.6517432778176719,-0.7499425926001222,-0.10086172702186061,0.051417114328322785,-89.60573633903732,-516.228567281632,323.3657180494094,0.6501613955432073,-0.7583502008141194,0.016971198599833957,-0.04367048303578847
25,-145.4137425650269,1232.4094914212635,106.40542013910196,0.6073307584771042,-0.7192941766217441,-0.2770785151398717,0.19233495192906683,-89.628523605182,-516.0898985230896,323.36288631993716,0.6502767795759881,-0.7582300197002064,0.017075598620589164,-0.043997398803280734
26,65.00885014036973,1114.2692478643971,108.34074950349782,0.636170740098799,-0.7633624544844331,0.06481909824064841,-0.09144964203821276,-89.63281266071087,-516.096741816274,323.3550533436262,0.6500437967271796,-0.7584461604178803,0.016906829523858215,-0.043779483771964854
27,230.48583623589136,982.1959010169907,110.24962814004625,0.13177528754925946,-0.13947289594035442,0.037618159574368495,0.9806974349714384,-89.63507840676016,-516.0889116246882,323.3489057957401,0.6501537376251306,-0.7583405558384987,0.016898737007625862,-0.043978989417412344
